current_question,sav_mapping
I prefer complex to simple problems.,1
I like to have the responsibility of handling a situation that requires a lot of thinking.,2
Thinking is not my idea of fun.,3
I would rather do something that requires little thought than something that is sure to challenge my thinking abilities.,4
I try to anticipate and avoid situations where there is a likely chance I will have to think in depth about something.,5
I find satisfaction in deliberating hard and for long hours.,6
I only think as hard as I have to.,7
I prefer to think about small daily projects to long term ones.,8
I like tasks that require little thought once I've learned them,9
The idea of relying on thought to make my way to the top appeals to me.,10
I really enjoy a task that involves coming up with new solutions to problems.,11
Learning new ways to think doesn't excite me very much.,12
I prefer my life to be filled with puzzles I must solve.,13
The notion of thinking abstractly is appealing to me. ,14
"I would prefer a task that is intellectual, difficult, and important to one that is somewhat important but does not require much thought.",15
I feel relief rather than satisfaction after completing a task that requires a lot of mental effort.,16
It's enough for me that something gets the job done; I don't care how or why it works.,17
I usually end up deliberating about issues even when they do not affect me personally. ,18
